username	bagel_id	score	comment
Samantha Wroblewski	13	3	NULL
Samantha Wroblewski	14	1	NULL
Samantha Wroblewski	15	6	NULL
Alana	1	6	NULL
Alana	2	8	NULL
Alana	3	4	NULL
Alana	4	5	NULL
Alana	5	5	NULL
Alana	6	6	NULL
Alana	7	8	NULL
Alana	8	5	NULL
Alana	9	4	NULL
Alana	10	7	NULL
Alana	11	8	NULL
Alana	12	9	NULL
Alana	13	6	NULL
Alana	14	3	NULL
Alana	15	7	NULL
Zach 2.0	1	4	NULL
Zach 2.0	2	5	NULL
Zach 2.0	3	6	NULL
Zach 2.0	4	6	NULL
Zach 2.0	5	3	NULL
Zach 2.0	6	5	NULL
Zach 2.0	7	8	NULL
Zach 2.0	8	6	NULL
Zach 2.0	9	7	NULL
Zach 2.0	10	6	NULL
Zach 2.0	11	3	NULL
Zach 2.0	12	7	NULL
Zach 2.0	13	2	NULL
Zach 2.0	14	2	NULL
Zach 2.0	15	3	NULL
Shea	1	5	NULL
Shea	2	8	NULL
Shea	3	NULL	Skip
Shea	4	5	NULL
Shea	5	4	NULL
Shea	6	NULL	Skip
Shea	7	7	NULL
Shea	8	7	NULL
Shea	9	8	NULL
Shea	10	7	NULL
Shea	11	7	NULL
Shea	12	7	NULL
Shea	13	7	NULL
Shea	14	5	NULL
Shea	15	7	NULL
Morgan	1	6	NULL
Morgan	2	8	NULL
Morgan	3	6	NULL
Morgan	4	4	NULL
Morgan	5	5	NULL
Morgan	6	NULL	NULL
Morgan	7	6	NULL
Morgan	8	8	NULL
Morgan	9	5	NULL
Morgan	10	4	NULL
Morgan	11	6	NULL
Morgan	12	7	NULL
Morgan	13	7	NULL
Morgan	14	4	NULL
Morgan	15	6	NULL
George 	1	6	NULL
George 	2	8	NULL
George 	3	3	NULL
George 	4	4	NULL
George 	5	5	NULL
George 	6	4	NULL
George 	7	7	NULL
George 	8	8	NULL
George 	9	3	NULL
George 	10	6	NULL
George 	11	8	NULL
George 	12	7	NULL
George 	13	7	NULL
George 	14	4	NULL
George 	15	5	NULL
Brittney Harris	1	5	Salty 
Brittney Harris	2	7	Good but plain
Brittney Harris	3	8	Fluffy 
Brittney Harris	4	3	Boring 
Brittney Harris	5	5	5. Good texture better with cream cheese 5
Brittney Harris	6	5	Harder to chew appropriate salt 5
Brittney Harris	7	4	 Fluffy but meh 4
Brittney Harris	8	8	 Everything on the bagel 8 
Brittney Harris	9	8	Sourdough Sesame 8
Brittney Harris	10	7	Good fennel
Brittney Harris	11	2	Booo 2
Brittney Harris	12	9	Perfect texture great taste 
Brittney Harris	13	3	 Meh 3
Brittney Harris	14	4	Dense, hard to chew 4
Brittney Harris	15	6	Middle of the road \n
NULL	1	NULL	NULL
NULL	2	NULL	NULL
NULL	3	NULL	NULL
NULL	4	NULL	NULL
NULL	5	NULL	NULL
NULL	6	NULL	NULL
NULL	7	NULL	NULL
NULL	8	NULL	NULL
NULL	9	NULL	NULL
NULL	10	NULL	NULL
NULL	11	NULL	NULL
NULL	12	NULL	NULL
NULL	13	NULL	NULL
NULL	14	NULL	NULL
NULL	15	NULL	NULL
Ruth Loving	1	7	Not too dry, seeds were tasty
Ruth Loving	2	7	Weird after taste at first, but good texture
Ruth Loving	3	5	Bland, but texture is fluffy
Ruth Loving	4	6	Tastes savory, thicker texture w/ hard exterior
Ruth Loving	5	3	Way too chewy. Flavor is meh. HURTS TO CHEW!
Ruth Loving	6	4	Too chewy & dry
Ruth Loving	7	10	SO YUMMY! Texture is soft, flavor is perfect blend of sweet & salty. Favorite bagel ever.
Ruth Loving	8	6	A little chewy but eh seasoning was yummy. Slightly bitter.
Ruth Loving	9	5	Texture is fluffy yet chewy. Tastes like sourdough.
Ruth Loving	10	8	Transports me back in time... feels like I'm visiting an old time town/spice market lol
Ruth Loving	11	3	Too tough & too chewy
Ruth Loving	12	7	Good texture, flavor is slightly sour
Ruth Loving	13	5	N/A bc my stupid dog ate this. HE HATES SCIENCE.
Ruth Loving	14	6	Very seasoned, good texture
Ruth Loving	15	5	Reminds me of an Asian shop lol, it's nice and sweet
Kevin Loving	1	8	Not too try and not too moist
Kevin Loving	2	7	Bagel was sweet, seeds weren't good
Kevin Loving	3	5	Too salty
Kevin Loving	4	4	Outside tastes overcooked
Kevin Loving	5	3	Too tough. Inside is grainy.
Kevin Loving	6	3	Really dry and grainy. Flavor is okay but the texture sucks
Kevin Loving	7	5	Very dough. Tastes undercooked
Kevin Loving	8	2	Bad flavor, bad texture
Kevin Loving	9	7	Very different, sourdough-like
Kevin Loving	10	6	Tasty but tough
Kevin Loving	11	3	A lot saltier than expected
Kevin Loving	12	7	Pretty good, almost sticky, sort of bland
Kevin Loving	13	5	N/A, dog ate this one :(
Kevin Loving	14	6	Too many toppings but texture is great
Kevin Loving	15	6	I like the sweetness but it's too dense
Dylan	1	5	Too chewy and tough
Dylan	2	7	Texture good. Not a lot of flavor
Dylan	3	9	NULL
Dylan	4	8	NULL
Dylan	5	6	Very fluffy
Dylan	6	3	Bush league. Hard
Dylan	7	5	Just ok. Not remarkable 
Dylan	8	9	Covered in seeds! Delightfully chewy
Dylan	9	7	Great texture, but yeasty flavor
Dylan	10	5	NULL
Dylan	11	6	NULL
Dylan	12	6	NULL
Dylan	13	6	NULL
Dylan	14	4	NULL
Dylan	15	5	NULL
Sarah	1	3	Super chewy and dry. Seasoning was good, but too bready
Sarah	2	8	texture was amazing, lacking in flavor, works really well with cream cheese
Sarah	3	6	Dry and too chewy. good amount of flavor and good crunch
Sarah	4	5	a little burnt tasting. soft and a bit chewy, but not terrible
Sarah	5	3	soft but chewy. too many poppy seeds
Sarah	6	3	too dense
Sarah	7	7	soft
Sarah	8	9	great seasoning AND flavot
Sarah	9	6	not much taste but great great texture and chewy in the right places (exterior only)
Sarah	10	4	dry with good seasoning
Sarah	11	5	not much flavor but not too chewy
Sarah	12	3	not much flavor and too chewy
Sarah	13	6	more seeds would help. not too chewy
Sarah	14	2	dry and hard to chew
Sarah	15	7	great flavor but too chewy
Big Butts Don't Lie	1	7	tears beautifully, a little bland, oily to the touch
Big Butts Don't Lie	2	9	chewy, nice color, good everything flavor
Big Butts Don't Lie	3	5	meh
Big Butts Don't Lie	4	6	tender, traditional, not as flavorful
Big Butts Don't Lie	5	4	puffy, big holes, bland
Big Butts Don't Lie	6	8	nice crust, good seedy flavor
Big Butts Don't Lie	7	8	tender, everything forward, a little sweet
Big Butts Don't Lie	8	7	poppy seed heavy, tough, burny flavor but in a good way - Eltana? 
Big Butts Don't Lie	9	8	chewy, flavorful
Big Butts Don't Lie	10	8	chewy, burny, flavorful, oniony
Big Butts Don't Lie	11	5	bready flavor, salty, dry, pretty seed coating
Big Butts Don't Lie	12	6	chewy, nice color, good bread flavor, but not enough everything flavor
Big Butts Don't Lie	13	3	meh appearance (looks storebought), meh flavor
Big Butts Don't Lie	14	3	pale, dense
Big Butts Don't Lie	15	6	dry, sweet?
Matthew + Alma Green	1	6	cakey and dry. Ok flavor
Matthew + Alma Green	2	8	very good texture, not alot of flavor. Well bakes though
Matthew + Alma Green	3	5	A little overly chewy. Ok Flavor. Is that jalepeno?
Matthew + Alma Green	4	9	Good flavor, great texture. Well baked. Very good bagel
Matthew + Alma Green	5	7	good presentation, good flavors, a little tough though. Love the poppy
Matthew + Alma Green	6	8	good quality bagel, good taste and texture
Matthew + Alma Green	7	7	Very good texture, not a ton of flavor though
Matthew + Alma Green	8	7	good flavor, good texture. But Have has better
Matthew + Alma Green	9	8	even distribution of sesame. Good sour flavor. A little dry though
Matthew + Alma Green	10	8	Alma thinks the caraway notes are "poetry". Solid bagel
Matthew + Alma Green	11	6	good flavor, but a little too salty. A little chewy.
Matthew + Alma Green	12	9	very good flavor, very good texture. Not dry, but not wet. Very good bagel
Matthew + Alma Green	13	5	Lacks flavor, a little dry
Matthew + Alma Green	14	9	chewy but not dry, good taste and texture. Unique bagel. Might end up constipated, but it would be worth.
Matthew + Alma Green	15	7	Cakey, but not chewy. Good taste good texture
Cecil Swain	1	6	little dry, nice amount of toppings, great chewy texture 
Cecil Swain	2	5	Less toppings on top, not a fan of the coating when they poach the bagel before the bake, good texture
Cecil Swain	3	7	smaller, less toppings :( \nnice crust! Good flavor on inside!\nnot an even bake on top and bottom though 
Cecil Swain	4	9	Soft, very good chew like potato bread! Good flavor- nice salty! Good crust on bottom
Cecil Swain	5	3	Looks burnt on first glance, a lot of poppy seeds.\nToo tough, poppy seeds all came off when we took a bite. Also does give off a burnt flavor
Cecil Swain	6	4	Good distribution of toppings, even bake. \nTough to bite into, dislike of the poaching liquid on the outside crust. nice flavor on inside 
Cecil Swain	7	8	So soft! Sweet inside, salty outside! Nice chew, maybe slight under baked
Cecil Swain	8	6	Too tough to bite into, some of the toppings are burnt. Flavor is on point!!
Cecil Swain	9	3	Sesame seeds are sticking all around!!\nNeeds salt, a bit too chewy and dry
Cecil Swain	10	4	Not a fan of the toppings, over powering. Nice chewy texture
Cecil Swain	11	7	Good overall flavor and texture. \nGood salt!  
Cecil Swain	12	4	Uneven about of toppings, needs more salt. Nothing too special to make us remember this one. *lack*
Cecil Swain	13	6	Needs more toppings and some salt in dough BUT great chew and overall yum!
Cecil Swain	14	6	First glance it looks like another kind of flour used to make the dough... maybe under baked? Flater than the others but taste good! I want to know what flour they used lol not your average bagel if youre looking for something different! Obvi this has my attention  
Cecil Swain	15	8	Nice amount of toppings, great flavor on top! Nice chew and nice texture on the inside :)
Eric	1	8	Good pretzel like flavor, seasoning needed more punch
Eric	2	7	Good chew, not too dense. Sweet in a good way. 
Eric	3	8	Soft but not too chewy, good flavor. Onion heavy season.
Eric	4	6	Dough flavor was interesting, a bit yeasty. Lighter flavor. 
Eric	5	10	Best crew, seasoning on both sides was great, had a nice crust. 
Eric	6	7	Very bready, good outer crust, chewiest of the bunch. 
Eric	7	2	Tastes like a generic brand bagel, too yeasty, under baked. 
Eric	8	5	Dough was a bit dry, slightly bitter. Good salt in the seasoning
Eric	9	7	good sweet sourdough flavor. good chew while still being light. 
Eric	10	8	Really distinct flavor, needed a bit more punch on the seasoning
Eric	11	8	Best seasoning so far, wish it was on the top and bottom, chew was ok but flavor was great
Eric	12	3	Nothing special, underwhelming seasoning, dough was a bit yeasty.
Eric	13	4	Same as 12, exactly the same, but slightly better(?)
Eric	14	5	dough a a good unique flavor but needed more volume, seasoning was ok but needed more salt. 
Eric	15	6	Good crust and chew but overall not our favorite dough taste or seasoning. 
Kyle +christine	1	10	Soft inside, great seasoning, set a high bar
Kyle +christine	2	2	Tough unside, seasoning so garlicky and burnt, sweet bread flavor
Kyle +christine	3	9	Tough outside, but great bread flavor, amazingly soft inside
Kyle +christine	4	4	Burnt outside but soft inside 
Kyle +christine	5	1	Very bad, burnt garlic
Kyle +christine	6	6	Tough outside, but nice inside
Kyle +christine	7	5	Great outside texture, not great bread, burnt garlic
Kyle +christine	8	3	Too much poppyseed, too hard outside, 
Kyle +christine	9	10	Soft inside, lovely bread flavor, soft outside
Kyle +christine	10	4	Tough outside, not fans of fennel seeds. 
Kyle +christine	11	7	Good, soft, inside, weird aftertaste, solid outside
Kyle +christine	12	8	Great bread, good seasoning but it needed more seasoning 
Kyle +christine	13	9	Sweet bread flavor, soft but too many sesame's in the seasoning. 
Kyle +christine	14	7	Not salty enough but solid bread, little too hard on outside
Kyle +christine	15	9	Soft bread, with a good seasoning. 
Kassie	1	6	Good salt in seasoning, pretzel like vibe
Kassie	2	8	Good chew with a slight sweetness to the dough - not too dense 
Kassie	3	9	Really good everything seasoning - onion heavy. Good chew and flavor throughout 
Kassie	4	7	Good bite with interesting dough flavor, lighter seasoning flavor
Kassie	5	10	Best chew with crispy crust outside and seasoning on both sides 
Kassie	6	7	Very bready like eating a baguette. Not the best seasoning - lacked flavor 
Kassie	7	2	Tastes like a store-bought bagel while not terrible doesn't stand up to the other premium bagels in the mix
Kassie	8	6	A bit dry but good dough flavor. Good salt in seasoning mix with good coating on both sides
Kassie	9	8	Good chew and not overly dense. Sweet and slight sour dough flavor. Sesame only if you're into that. 
Kassie	10	7	Distinct flavor in dough that was hard to put my finger on. Good chew
Kassie	11	NULL	Best seasoning! Wish it was on top and bottom. Good dough flavor but not the best chew 
Kassie	12	3	Nothing special - seasoning was underwhelming and dough a bit yeasty 
Kassie	13	4	Also not very special but better than #12
Kassie	14	6	Seasoning needed more salt but liked even coating. Good flavor to the dough but needed more rise
Kassie	15	7	Good crust and chew but not favorite dough taste or seasoning 
Brandon&Xiaoshan	1	5	Strong garlic flavor. Dough was OK. Nothing wrong but also nothing stands out.
Brandon&Xiaoshan	2	4	Strong smell. Big air bubbles in the bagel, making the consistency a little uneven. Taste like a milk dough. Seems like the yeast was not very well worked in. Flavor is OK. 
Brandon&Xiaoshan	3	7	Hint of sweet flavor. Tastes almost like a milk dough. Good consistency. Crust tastes almost like a pretzel, with a stronger "burned" flavor
Brandon&Xiaoshan	4	6	Not bad. Everything seasoning could be more prominent. Bagel is slightly dense.  
Brandon&Xiaoshan	5	7	Huge bagel. Really airy dough. Tastes more like sourdough bread than a bagel. Better than average; but points taken away because it doesn't taste like a bagel. 
Brandon&Xiaoshan	6	3	Dough looked uneven, looks like it wasn't raised properly. Really salty. Feels like eating a pretzel. Too dense even on the bigger end.
Brandon&Xiaoshan	7	8	 Slightly sweet. Really soft center.  Would be even better with a stronger brioche flavor
Brandon&Xiaoshan	8	9	Covered in poppy seed lol. Strong sesame flavor. Sweet dough. Good consistency. Chewy. Brandon's favorite.
Brandon&Xiaoshan	9	7	Sourdough. Love the sour flavor. Strong sesame flavor. The crust is a bit tough. Cream cheese definitely brings out the sour flavor more. Good consistency.
Brandon&Xiaoshan	10	7	Strong everything flavor. Not bad. Middle of the road everything. Edit: it grows on you as you eat more. Crust is slightly tough.
Brandon&Xiaoshan	11	7	Really soft, chewy center. Good texture but everything else was just OK. 
Brandon&Xiaoshan	12	5	bagel slightly salty. Big air bubbles, feels like the yeast was uneven. Meh
Brandon&Xiaoshan	13	9	Tasty dough. Not a lot of spice on it. Great if you don't like super strong everything flavor. Not great if you want your bagel covered in everything. 
Brandon&Xiaoshan	14	2	Tiny bagel. super dense. Dough didn't rise. Really hard to bite and even harder to chew. Our jaws hurt lol 
Brandon&Xiaoshan	15	8	Giant bagel. Really light. Liked the texture a lot. Not super strong flavor. Slightly sweet. Overall a decent bagel. 
NULL	1	5	Taste a little stale, not a lot of flavor. Texture-wise it’s more like bread rather than bagel
NULL	2	6	Looks solid, texture is better than #1 but still not close to an ideal bagel. Also more flavorful than #1.
NULL	3	8	Great crust color, the crumb is surprisingly open but the texture is actually not bad! Flavorful.
NULL	4	6	The everything topping looks a little sad, not a lot of garlic. Texture is fine but not great. Wish there are more chew and more crust.
NULL	5	8	The only thing I don’t like is that there’s way too much poppy seed. Good texture - crust and interior are both good.
NULL	6	7	Impressive height. A little too hard for my taste. Not a bad bagel.
NULL	7	6	Don’t like the texture. Also a little too sweet. Not chewy enough and the crust is not good either.
NULL	8	9	This is probably my favorite by far. Great flavor - salty enough to eat by itself. Good chewy and good crust. Also like the fact the everything topping is covered both sides.
NULL	9	9	Great chew! And is this a sourdough bagel? Love the tangy taste. The crumb looks good too.
NULL	10	7	Texture is good but lack of flavor. Wish there are more topping
NULL	11	5	Too salty. Is this the 3 girl bakery one? I think I recognized its crumb/interior, which there’s big air pockets. Also taste stale too.
NULL	12	7	If I walk in a random bagel shop and got this bagel, I wouldn’t be mad but won’t come back either. It’s a pretty standard bagel.
NULL	13	6	Not a lot of topping. A little too soft. Also smaller than most? A little sad looking for a bagel.
NULL	14	7	It doesn’t taste like a bagel but I like it. It’s not chewy and hasn’t got the boiling mark on its surface, which I suspect it hasn’t been boiled before baking. Reminds me of the Little Largo bagel I tried. 
NULL	15	7	Another standard tasting bagel. Could be chewier, but looks good and flavor is okay too.
